                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 0.8328,                0.76856,                 1.2358,                0.80344,                0.68924,                0.73521,                0.48212,                 1.2022,                 1.1199,                 1.7454,             0.00030606,             0.00030606,             0.00030606
                     69,                0.82045,                0.76259,                 1.2243,                0.82716,                0.67967,                0.73934,                0.49154,                 1.1626,                 1.0971,                 1.7205,             0.00029706,             0.00029706,             0.00029706
                     70,                0.82322,                0.75425,                 1.2264,                0.76238,                0.69604,                0.75561,                0.51337,                 1.1271,                0.97782,                 1.6625,             0.00028806,             0.00028806,             0.00028806
                     71,                0.81376,                0.74575,                 1.2234,                0.80221,                0.70902,                0.76591,                0.52919,                 1.1255,                 1.0073,                 1.6311,             0.00027906,             0.00027906,             0.00027906
                     72,                0.81406,                0.75071,                 1.2226,                0.79887,                0.71351,                0.76484,                0.52995,                 1.1221,                0.98555,                 1.6456,             0.00027006,             0.00027006,             0.00027006
                     73,                0.81893,                0.74824,                 1.2222,                0.76225,                0.69555,                0.74632,                  0.513,                 1.0962,                 1.0457,                 1.6168,             0.00026106,             0.00026106,             0.00026106
                     74,                0.80099,                0.73187,                 1.2173,                0.73024,                0.75154,                0.75222,                0.50373,                 1.1241,                 1.0226,                 1.6525,             0.00025207,             0.00025207,             0.00025207
                     75,                0.80359,                0.73302,                 1.2149,                0.66645,                0.78066,                0.74597,                0.50205,                 1.1087,                  1.024,                 1.6187,             0.00024307,             0.00024307,             0.00024307
                     76,                0.80164,                0.73897,                 1.2131,                0.78633,                0.69837,                0.76071,                 0.5194,                 1.0986,                 1.0076,                 1.6273,             0.00023407,             0.00023407,             0.00023407
                     77,                0.80063,                0.73166,                 1.2113,                0.81767,                0.71038,                0.74375,                0.50188,                 1.1078,                 1.0468,                 1.6375,             0.00022507,             0.00022507,             0.00022507
                     78,                0.80489,                0.73494,                 1.2163,                0.79989,                0.70167,                0.76441,                0.51913,                 1.0955,                 1.0039,                 1.6143,             0.00021607,             0.00021607,             0.00021607
                     79,                0.80116,                0.71986,                 1.2113,                0.78754,                0.71159,                0.74627,                0.51075,                 1.1166,                 1.0147,                 1.6676,             0.00020707,             0.00020707,             0.00020707
                     80,                 0.7846,                0.71508,                 1.2058,                0.78343,                0.72024,                0.76309,                0.51689,                  1.149,                0.98627,                 1.7002,             0.00019807,             0.00019807,             0.00019807
                     81,                 0.7788,                0.71522,                 1.1998,                0.77769,                0.74965,                0.77191,                0.51589,                 1.1246,                0.99461,                 1.6684,             0.00018907,             0.00018907,             0.00018907
                     82,                0.79049,                0.72787,                 1.2072,                 0.8006,                0.70185,                0.78779,                0.51768,                 1.1407,                 0.9994,                 1.6666,             0.00018007,             0.00018007,             0.00018007
                     83,                0.77972,                0.71007,                 1.2025,                0.84947,                0.74402,                0.80517,                 0.5424,                  1.097,                0.97962,                 1.6138,             0.00017107,             0.00017107,             0.00017107
                     84,                0.77641,                 0.7099,                 1.1957,                0.81412,                 0.7472,                0.78583,                0.53564,                 1.1072,                 1.0307,                  1.636,             0.00016207,             0.00016207,             0.00016207
                     85,                 0.7671,                0.68794,                 1.1924,                0.79499,                0.74437,                0.78836,                 0.5386,                 1.1378,                 1.0048,                 1.6661,             0.00015308,             0.00015308,             0.00015308
                     86,                 0.7644,                0.69859,                 1.1926,                0.83185,                0.69133,                0.75873,                0.51428,                 1.1253,                0.98395,                 1.6731,             0.00014408,             0.00014408,             0.00014408
                     87,                0.76436,                0.68849,                 1.1935,                0.78316,                0.73163,                0.78062,                 0.5286,                  1.146,                 1.0058,                 1.6983,             0.00013508,             0.00013508,             0.00013508
                     88,                0.75618,                 0.6846,                  1.186,                0.73809,                0.73913,                0.75576,                0.52095,                 1.1069,                 1.0341,                 1.6582,             0.00012608,             0.00012608,             0.00012608
                     89,                0.76448,                0.68875,                 1.1915,                0.75137,                0.77703,                 0.7793,                0.52469,                 1.1586,                 1.0006,                 1.7085,             0.00011708,             0.00011708,             0.00011708
                     90,                0.75963,                0.68791,                 1.1859,                0.77607,                0.74885,                 0.7727,                0.52195,                 1.1492,                0.99659,                 1.6949,             0.00010808,             0.00010808,             0.00010808
                     91,                0.63601,                0.43627,                  1.167,                0.75305,                0.74534,                0.77276,                0.52189,                 1.1403,                 1.0111,                 1.6845,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                0.61048,                0.39862,                 1.1453,                0.80206,                0.71584,                0.77045,                0.52083,                 1.1325,                0.98799,                  1.685,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                0.60787,                 0.3922,                 1.1418,                0.75373,                0.73647,                0.76039,                0.51535,                  1.138,                0.99928,                 1.6953,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                0.60013,                0.38733,                 1.1358,                0.76295,                 0.7346,                0.76699,                0.51993,                 1.1294,                 1.0582,                 1.6919,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                0.59512,                0.37883,                 1.1303,                 0.7666,                0.72672,                0.76949,                0.52633,                 1.1419,                 1.0454,                 1.7084,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                0.59125,                0.37156,                 1.1226,                0.81799,                0.69764,                0.78494,                0.53749,                 1.1297,                 1.0155,                 1.7002,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                0.58062,                0.36568,                 1.1095,                0.81557,                0.70733,                0.77755,                0.53254,                 1.1313,                  1.054,                  1.713,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                0.57873,                0.36181,                 1.1186,                0.84208,                 0.7046,                0.77627,                0.53443,                 1.1345,                 1.0369,                 1.7212,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                 0.5828,                0.36627,                 1.1162,                0.80268,                0.70657,                0.76956,                0.52813,                   1.15,                  1.038,                  1.751,             2.7088e-05,             2.7088e-05,             2.7088e-05
                    100,                0.56985,                0.36559,                 1.1121,                0.84892,                0.67948,                0.77347,                0.53186,                 1.1466,                 1.0274,                 1.7425,             1.8089e-05,             1.8089e-05,             1.8089e-05
