                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.74224,                0.66063,                 1.1822,                0.72413,                 0.7743,                0.77305,                0.53243,                 1.1106,                  1.027,                 1.6787,             0.00030606,             0.00030606,             0.00030606
                     69,                0.72979,                0.64443,                  1.171,                0.83094,                0.69156,                0.73862,                0.51982,                 1.0735,                 1.0329,                 1.6578,             0.00029706,             0.00029706,             0.00029706
                     70,                 0.7307,                0.64221,                 1.1725,                0.81376,                0.68896,                0.78956,                0.56501,                 1.0436,                0.95999,                 1.5956,             0.00028806,             0.00028806,             0.00028806
                     71,                0.72315,                0.63565,                 1.1688,                0.71585,                0.77414,                0.78325,                0.54333,                  1.082,                 1.0274,                 1.6194,             0.00027906,             0.00027906,             0.00027906
                     72,                0.72588,                0.63765,                 1.1718,                0.74629,                0.72945,                0.76292,                 0.5439,                  1.069,                 1.0191,                 1.6111,             0.00027006,             0.00027006,             0.00027006
                     73,                 0.7199,                0.63778,                 1.1651,                0.80823,                0.66162,                0.74662,                0.52889,                 1.0499,                 1.0125,                 1.6062,             0.00026106,             0.00026106,             0.00026106
                     74,                0.70401,                0.62446,                 1.1578,                0.78934,                0.70659,                0.74944,                0.52902,                  1.078,                 1.0221,                 1.6534,             0.00025207,             0.00025207,             0.00025207
                     75,                0.70385,                0.61087,                 1.1561,                0.77924,                0.71232,                0.78677,                0.55543,                 1.1016,                0.98384,                  1.694,             0.00024307,             0.00024307,             0.00024307
                     76,                0.69525,                0.61129,                 1.1506,                0.81081,                0.75134,                 0.7867,                0.55156,                 1.0767,                 1.0079,                 1.6598,             0.00023407,             0.00023407,             0.00023407
                     77,                0.70266,                0.61266,                 1.1546,                0.77773,                0.70547,                0.77564,                0.54738,                 1.0707,                0.99448,                 1.6383,             0.00022507,             0.00022507,             0.00022507
                     78,                 0.6996,                0.61241,                 1.1544,                0.81101,                0.67306,                0.75528,                0.54329,                 1.0617,                 1.0365,                 1.6349,             0.00021607,             0.00021607,             0.00021607
                     79,                  0.694,                0.60334,                 1.1514,                0.75648,                0.73052,                0.75679,                0.54095,                  1.088,                0.99015,                 1.6616,             0.00020707,             0.00020707,             0.00020707
                     80,                0.68401,                0.59445,                 1.1472,                0.76102,                0.72647,                0.74299,                0.53332,                 1.0959,                0.97311,                 1.6706,             0.00019807,             0.00019807,             0.00019807
                     81,                0.67593,                0.58686,                 1.1397,                0.79597,                0.71541,                0.75413,                0.53511,                 1.0852,                 1.0092,                 1.6737,             0.00018907,             0.00018907,             0.00018907
                     82,                0.68251,                0.60118,                 1.1441,                0.75303,                  0.764,                0.77099,                0.52473,                 1.1104,                 0.9918,                 1.6969,             0.00018007,             0.00018007,             0.00018007
                     83,                0.66924,                0.57799,                 1.1394,                0.82168,                0.73407,                0.78047,                0.54461,                 1.0954,                 1.0128,                 1.7062,             0.00017107,             0.00017107,             0.00017107
                     84,                0.66524,                0.57685,                 1.1304,                0.76506,                0.77933,                0.77098,                0.53949,                  1.083,                0.97279,                 1.6908,             0.00016207,             0.00016207,             0.00016207
                     85,                0.65627,                0.56175,                 1.1276,                0.77484,                0.75648,                0.78679,                0.54451,                 1.1022,                0.98763,                 1.7297,             0.00015308,             0.00015308,             0.00015308
                     86,                0.65519,                0.57005,                 1.1287,                0.81616,                0.68525,                0.75511,                0.52627,                 1.1112,                 1.0112,                 1.7382,             0.00014408,             0.00014408,             0.00014408
                     87,                 0.6522,                0.56531,                 1.1266,                0.78766,                0.73988,                0.76833,                 0.5393,                 1.1043,                0.99079,                 1.7374,             0.00013508,             0.00013508,             0.00013508
                     88,                0.64575,                0.56264,                 1.1204,                0.85445,                0.72138,                0.77721,                0.54817,                  1.093,                 1.0009,                 1.7267,             0.00012608,             0.00012608,             0.00012608
                     89,                0.64699,                0.55628,                 1.1213,                0.81254,                0.72225,                0.77212,                0.53873,                 1.0711,                 1.0258,                 1.6759,             0.00011708,             0.00011708,             0.00011708
                     90,                0.64093,                0.55925,                 1.1164,                0.78592,                0.70212,                0.73517,                0.50932,                 1.1083,                 1.0256,                 1.7215,             0.00010808,             0.00010808,             0.00010808
                     91,                0.48612,                0.30935,                  1.048,                0.79655,                0.76517,                0.74847,                0.52173,                 1.0874,                 1.0463,                  1.697,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                 0.4718,                0.28417,                 1.0392,                0.81854,                 0.7401,                0.76442,                0.54055,                 1.0973,                 1.0514,                 1.7151,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                0.46436,                0.28015,                 1.0329,                0.83271,                0.71809,                0.75778,                0.53849,                 1.0901,                 1.0445,                 1.7247,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                 0.4538,                0.28052,                 1.0247,                0.77011,                0.74168,                0.75676,                0.53125,                 1.0857,                 1.0281,                 1.7255,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                0.44881,                0.26827,                 1.0216,                0.79885,                0.72717,                0.75238,                0.53062,                 1.1325,                 1.0284,                  1.806,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                0.43565,                 0.2627,                 1.0086,                0.78944,                0.73765,                0.75805,                0.54123,                 1.1039,                 1.0048,                 1.7607,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                 0.4306,                0.26045,                 1.0036,                0.78398,                0.74032,                0.76027,                0.53934,                 1.1053,                 1.0182,                 1.7687,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                0.42667,                0.25462,                  1.004,                0.79063,                0.73965,                 0.7572,                0.54148,                 1.1034,                 1.0284,                 1.7658,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                0.42199,                0.25909,                0.99996,                0.77404,                0.74792,                0.76212,                0.53679,                 1.1008,                 1.0322,                 1.7652,             2.7088e-05,             2.7088e-05,             2.7088e-05
                    100,                0.42058,                0.25698,                 1.0016,                0.77983,                0.75089,                 0.7608,                0.53889,                 1.0859,                 1.0321,                  1.751,             1.8089e-05,             1.8089e-05,             1.8089e-05
